scenario_id,scenario_description,recommended_care_option,explanation,urgency_level
9a5f302d-5b51-4add-99d8-f591412b3472,A 47-year-old traveler from Portugal at an amusement park. Traveler needs medical documentation or a sick note for travel insurance purposes.,Telehealth Service,"Telehealth physicians can provide medical documentation, letters, and notes during a virtual consultation.",Low
d9a4e372-0bf9-47ef-abad-bb0be2be55d4,A 72-year-old retiree from Canada at a hotel. Visitor is experiencing severe chest pain radiating to the left arm with shortness of breath.,Emergency Room (ER),Chest pain with radiation to the arm may indicate a cardiac emergency. Call 911 or go to the ER immediately. This is a life-threatening situation requiring immediate evaluation.,Critical
9d3fdefe-6ff1-4f87-a3e2-3f7f83f475c7,"A 35-year-old business traveler from France on a student exchange program. Visitor slipped on wet floor and has wrist pain with minor swelling, no open wound.",Urgent Care Center,Urgent care can X-ray the wrist to rule out fractures and provide splinting or referral if needed.,Moderate
208dd392-be6b-422a-9f90-9001553dd7c2,A 47-year-old traveler from Portugal at a shopping mall. Traveler is experiencing a seizure for the first time with no prior history of epilepsy.,Emergency Room (ER),A first-time seizure requires immediate ER evaluation to identify the underlying cause.,Critical
f390813d-28e2-49b3-9930-f89ea794ebc6,A 47-year-old traveler from Portugal at an Airbnb rental. Visitor has been vomiting for several hours after eating street food and feels dehydrated.,Urgent Care Center,Food poisoning with mild-to-moderate dehydration can be treated at urgent care with IV fluids if needed. Go to the ER if symptoms worsen severely.,Moderate
fa0266ad-4978-4b61-9cb1-d8fee3cfe8df,A 50-year-old visitor from the UK attending a business conference. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
58432352-9da3-46cc-9644-13e2981c26e8,A 40-year-old visitor from Saudi Arabia at a national park. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
ce763675-afcb-4067-974a-a7d8aec32f57,A 40-year-old visitor from Saudi Arabia at an amusement park. Visitor developed a mild rash after eating at a restaurant and is unsure of the cause.,Urgent Care Center,"Urgent care can evaluate mild allergic reactions and skin rashes, prescribe antihistamines, and rule out more serious conditions.",Moderate
06daea68-63bb-41f8-8866-ff712813aaff,A 55-year-old visitor from China at a shopping mall. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
2fdf0929-f2d2-436e-ba3e-f842acab1af4,A 72-year-old retiree from Canada attending a business conference. Visitor needs routine vaccinations or travel immunizations not received before departure.,Community Health Clinic,"Many community health clinics offer vaccination services, including travel vaccines, often at reduced cost compared to private clinics.",Low
9dc245d3-74ff-41e2-a4b5-393461539011,A 72-year-old retiree from Canada at an amusement park. Traveler ingested an unknown substance accidentally and is feeling dizzy and nauseous.,Emergency Room (ER),Suspected poisoning requires immediate ER evaluation. Also contact Poison Control at 1-800-222-1222.,Critical
a6dad7ed-5126-41e6-850d-290d8a2ab587,A 50-year-old visitor from the UK during a layover. Traveler has a persistent cough lasting 5 days with no shortness of breath or chest pain.,Urgent Care Center,"Urgent care can evaluate upper respiratory infections, prescribe cough suppressants, and rule out pneumonia with a chest X-ray.",Low-Moderate
90756f93-fc9d-4823-9cf8-6df9ecc9cdb6,A 33-year-old tourist from Spain attending a business conference. Traveler has a mild ear infection with pain and muffled hearing but no high fever.,Urgent Care Center,Urgent care can diagnose ear infections and prescribe antibiotic drops or oral antibiotics.,Low-Moderate
e7cbe966-2a2f-4638-927c-e93fddca240a,A 22-year-old student from South Korea at a national park. Visitor has a deep laceration that is bleeding heavily and not stopping with direct pressure.,Emergency Room (ER),Uncontrolled bleeding from a deep wound is a medical emergency. Go to the ER or call 911 for immediate wound care and possible surgery.,Critical
899026c1-2937-4c72-951d-bb14557add4b,A 40-year-old visitor from Saudi Arabia at an Airbnb rental. Visitor wants motion sickness medication before a cruise or long road trip.,Pharmacy,OTC options like dimenhydrinate (Dramamine) or meclizine are available at pharmacies for motion sickness prevention.,Low
f9b56c97-8a00-41c2-99c8-d03a6a4f939e,"A 30-year-old tourist from Australia on a cruise stopover. Traveler needs cold and flu medicine, throat lozenges, and a thermometer.",Pharmacy,"Pharmacies stock a full range of OTC cold remedies, sore throat products, and medical devices like thermometers.",Low
f85befe7-a26a-4ed6-a539-d547594227e6,A 62-year-old tourist from Germany at a beach resort. Traveler sustained a small cut on the hand while cooking that may need stitches.,Urgent Care Center,Urgent care can clean wounds and apply sutures or skin glue for lacerations that do not involve tendons or deep tissue.,Moderate
4e9071dc-9986-4424-864a-84f2155075c1,A 33-year-old tourist from Spain sightseeing in the city. Traveler has had a sudden onset of severe headache described as 'the worst headache of their life.',Emergency Room (ER),A sudden severe headache can indicate a subarachnoid hemorrhage or other serious neurological event. Go to the ER immediately.,Critical
fd6f9d3f-2aea-4c36-94a1-185d500f89b5,A 72-year-old retiree from Canada at an Airbnb rental. Visitor has mild COVID symptoms and wants a virtual consultation before seeking in-person care.,Telehealth Service,"Telehealth providers can assess COVID symptoms, recommend testing, and advise on next steps without requiring an in-person visit.",Moderate
d3a22c25-be92-47cf-b7df-13cedaf44aef,A 50-year-old visitor from the UK on a cruise stopover. Visitor has a minor ankle sprain after sightseeing and is experiencing mild swelling and pain.,Urgent Care Center,"An urgent care center can assess musculoskeletal injuries like sprains, provide X-rays if needed, and offer wrap/brace support without the long ER wait times or high costs.",Moderate
ee30f4f1-7f15-44aa-8060-06722a8a9161,A 35-year-old business traveler from France at a beach resort. Traveler is experiencing a seizure for the first time with no prior history of epilepsy.,Emergency Room (ER),A first-time seizure requires immediate ER evaluation to identify the underlying cause.,Critical
092ab00b-dec5-4ab1-889d-364b212c5e0b,A 68-year-old visitor from Italy attending a business conference. Visitor has mild COVID symptoms and wants a virtual consultation before seeking in-person care.,Telehealth Service,"Telehealth providers can assess COVID symptoms, recommend testing, and advise on next steps without requiring an in-person visit.",Moderate
f1a7b40c-70eb-4b2a-b273-82286b8073d9,A 72-year-old retiree from Canada at an amusement park. Traveler without insurance needs to see a doctor for a non-emergency concern and cannot afford ER prices.,Community Health Clinic,"Federally Qualified Health Centers (FQHCs) provide care on a sliding fee scale based on income, making them accessible for uninsured visitors.",Low
3966797d-cf38-416e-82ee-adca2689f50d,A 50-year-old visitor from the UK attending a business conference. Visitor has a high fever of 104°F with stiff neck and sensitivity to light.,Emergency Room (ER),"High fever with neck stiffness and photophobia are classic signs of meningitis, a life-threatening condition. Go to the ER immediately.",Critical
