facility_id,facility_type,facility_description,common_use_cases,average_cost_range,average_wait_time,appointment_required,insurance_typically_accepted
86fb3cf1-a0b3-4c62-935d-bd649e35d629,Community Health Clinic,"A nonprofit or government-funded health center that provides accessible healthcare to all community members, including international visitors, with reduced or no-cost services available.",Health education; social services referrals; sliding-scale fee primary care; care for uninsured patients; language interpreter services,$20 – $80 (low-income scale),Same-day (urgent slots),Recommended; walk-in availability varies; call ahead to confirm,Accepts uninsured patients; Medicaid; Medicare; some private insurance; sliding-fee scale for all income levels
8bf3d0af-278e-4cd5-9bac-4e77005a1599,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.",Receiving flu shots and other vaccinations; blood pressure screenings; purchasing diabetic supplies; contraception; vitamins and supplements,$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
aa4f006c-e0b5-47be-81fb-76696f5a6ed4,Pharmacy,"A full-service pharmacy offering prescription services, vaccinations, health screenings, and a comprehensive selection of over-the-counter remedies.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$0 – $20 (OTC medications),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
29f706f3-003d-42f8-b162-68648b457468,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Chest pain or suspected heart attack; stroke symptoms; severe allergic reactions (anaphylaxis); major trauma or broken bones; uncontrolled bleeding; loss of consciousness,"$1,500 – $3,000 (basic visit)",1 – 6 hours (moderate urgency),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
a5d80a4e-618b-421b-8f1f-3e92c3415748,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$150 – $350 (with X-ray),30 – 60 minutes (peak hours),No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
80d68cb6-07a2-49bc-9fef-e98722768976,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$50 – $500+ (brand-name medications without insurance),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
8df988ea-0953-477f-9a42-b591240ccd2e,Urgent Care Center,"A convenient alternative to the ER for moderate health concerns, offering services such as X-rays, lab tests, stitches, and prescription services at a fraction of the ER cost.",Minor fractures; sprains; cuts requiring stitches; ear infections; strep throat; UTIs; mild fevers; skin rashes; respiratory infections,$200 – $500 (with lab tests and procedures),15 – 45 minutes,No — walk-in available; appointments preferred at some locations,Most major US insurance; many international travel insurance plans; self-pay options available
74634e13-a27b-46da-950a-d8a8926cf73b,Telehealth Service,"A virtual healthcare platform connecting patients with licensed physicians, nurse practitioners, and mental health professionals via video, phone, or secure messaging.",Cold and flu symptom management; skin condition consultations (photo-based); sleep issues; anxiety and depression support; medication questions,$50 – $100 (with prescription),On-demand: under 15 minutes,On-demand visits: no appointment needed; Scheduled visits: appointment preferred,Many US insurance plans cover telehealth; some international travel insurance plans cover virtual visits; self-pay available
44885d27-801e-44c3-b395-41de2c51b58a,Emergency Room (ER),"A hospital-based department providing immediate medical care for life-threatening or severe medical emergencies, staffed 24/7 by emergency physicians and nurses.",Difficulty breathing; severe abdominal pain; high fever with stiff neck; seizures; overdose or poisoning; severe burns; eye injuries with vision loss,"$2,000 – $5,000 (with imaging)",30 min – 4 hours (non-critical),No — walk-in or 911 arrival,Most major US insurance plans accepted; Medicare; Medicaid; international travel insurance (verify coverage before visit)
8b73933a-2789-4af8-80e1-16ce351a55f8,Pharmacy,"A retail pharmacy providing prescription dispensing services, over-the-counter medications, health products, and pharmacist consultation services.","Medication counseling; medication synchronization; refilling maintenance medications; purchasing medical devices (thermometers, glucometers)",$50 – $500+ (brand-name medications without insurance),Immediate (OTC purchases),No — walk-in for OTC; no appointment for prescription drop-off,US health insurance; GoodRx discount card (no insurance needed); self-pay accepted at all pharmacies
