phrase_id,language,phrase,english_translation,category
232b152e-f4a2-42fa-a3f0-e34721d1c5e7,French,Je n'ai pas d'assurance.,I do not have insurance.,Insurance
4c663cf2-9f15-4e9e-ab94-d22fccc0cf7f,Arabic,من فضلك تحدث ببطء.,Please speak slowly.,Communication
7ad5f85b-6333-4aac-a294-c4c017b60da1,English,Can you write it down please?,Can you write it down please?,Communication
a1c679d9-d3d5-425a-b4d0-acacbca10d22,English,Please speak slowly.,Please speak slowly.,Communication
ad6ad61f-3018-4033-b055-031789183845,Arabic,هل يوجد طبيب يتحدث لغتي؟,Is there a doctor who speaks my language?,Navigation
25a90cab-2ed3-4747-82b0-4d8dccee3ff4,English,Is there a doctor who speaks my language?,Is there a doctor who speaks my language?,Navigation
72fc7d7a-b427-4e1f-bdcb-2a4d28c40c38,French,Où se trouve la salle d'urgence la plus proche?,Where is the nearest emergency room?,Navigation
9ed18629-95af-40ae-aa6b-09fe815773fc,Arabic,لا أفهم.,I do not understand.,Communication
a35058a7-5ac4-45fe-a468-f09b386e3d11,Spanish,¿Aceptan seguro internacional?,Do you accept international insurance?,Insurance
0f780e6e-b1c3-4e5a-80cc-06277fb43be0,Portuguese,Preciso de ajuda de emergência.,I need emergency help.,Emergency
fa298e04-7097-4862-bb99-9ec29ed05dd6,Chinese,我需要续药。,I need a prescription refill.,Medication
51955270-e045-407b-8e67-0d52c2cea40b,Spanish,Llame al 911 por favor.,Call 911 please.,Emergency
ee7c7e89-8f6a-441e-aa0e-a39367705037,Chinese,我胸口疼。,I have chest pain.,Symptoms
7016ddc8-3424-43d3-833b-edaa3d36d527,English,Do you have this medication?,Do you have this medication?,Medication
57b7ff59-5c45-4999-887c-9d8d240d725e,Spanish,Soy alérgico/a a la penicilina.,I am allergic to penicillin.,Symptoms
a35994ee-4627-4184-bf8a-304504753317,Chinese,你们接受国际保险吗？,Do you accept international insurance?,Insurance
a7f9113b-0cc1-45a1-92d1-d468795f2a0b,Portuguese,Sou diabético/a e preciso de insulina.,I am diabetic and need insulin.,Medication
2717aebf-8833-4849-9d2a-6938267a183d,Spanish,No entiendo.,I do not understand.,Communication
741c64fa-1cdd-46b4-a707-61cd2c1c695e,Spanish,Tengo sarpullido.,I have a rash.,Symptoms
286bff5a-132d-451f-ac6a-3c372b9b63b3,Portuguese,Onde fica a sala de emergência mais próxima?,Where is the nearest emergency room?,Navigation
c98e4a22-0466-464f-ad66-748ae39855b8,Arabic,أحتاج إلى موعد مع طبيب عبر الإنترنت.,I need a telehealth appointment.,Navigation
3eaa0fe8-5eec-42fd-a83b-a93f64648add,Portuguese,Isso é uma emergência.,This is an emergency.,Emergency
43f8809c-8922-4691-9ad1-13d5dfedf0ff,Portuguese,Sou diabético/a e preciso de insulina.,I am diabetic and need insulin.,Medication
04d14ff8-9f2f-40de-ab23-29f8d5f3662e,Portuguese,"Ajude-me, estou muito doente.","Help me, I am very sick.",Emergency
0cee3c74-4c51-49a5-8ff9-85784618b12f,Japanese,この薬はありますか？,Do you have this medication?,Medication
4437ff5b-463d-48e9-a111-ef4bfab5f400,English,Do you have an interpreter?,Do you have an interpreter?,Communication
8a976854-11c0-43f4-b013-20200339925b,Chinese,我需要救护车。,I need an ambulance.,Emergency
538a5f92-f878-4f17-8da6-1f558a7d1de6,Arabic,عندي تورم.,I have swelling.,Symptoms
238f4f5e-daed-4eec-bdf3-aba15c0fd850,French,J'ai des douleurs à la poitrine.,I have chest pain.,Symptoms
dd78c5d0-76a8-4ee5-8539-5f0742619418,French,Je prends ce médicament quotidiennement.,I take this medication daily.,Medication
6193e746-84e8-45c0-b607-4b9f48140c7f,Arabic,هل يمكنك كتابته من فضلك؟,Can you write it down please?,Communication
169279f3-31c5-4415-a709-2bd94bdb897f,English,Do you have an interpreter?,Do you have an interpreter?,Communication
7041e4e2-1272-4814-a371-57e7fb762665,Spanish,Necesito una ambulancia.,I need an ambulance.,Emergency
6c82c66a-391d-4a5c-99fc-b2843417dede,Chinese,我有旅游保险。,I have travel insurance.,Insurance
9df1862f-031e-4a06-b145-429a36ddb071,Portuguese,Vocês aceitam seguro internacional?,Do you accept international insurance?,Insurance
7c434a46-13db-4691-804c-6c12fbd45249,English,This is an emergency.,This is an emergency.,Emergency
18175dff-747f-4eab-b6ad-ebad04d21dc9,Arabic,عندي حساسية من طعام.,I have a food allergy.,Symptoms
77c41b53-e82f-4b1e-b559-a8336fb9ba1b,Arabic,لدي تأمين سفر.,I have travel insurance.,Insurance
62629152-7a71-4a46-b825-ce6e7a8b2999,Portuguese,Isso é uma emergência.,This is an emergency.,Emergency
10e9a0be-c08b-470e-b5e2-d4a3d5755949,Arabic,لا أتكلم الإنجليزية.,I do not speak English.,Communication
