term_id,term,simple_explanation,visitor_friendly_explanation
6727e5e1-fae1-420b-b54e-83021945a682,HIPAA,A US federal law protecting the privacy and security of patients' medical information.,"HIPAA means your medical information in the US is legally protected. Healthcare providers cannot share your health details with others without your permission, except in limited situations like emergencies or legal requirements."
fe8927c1-e216-4186-a3fc-42c2aaac3999,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
200fd940-cc36-4651-b5db-b106c9819b83,EpiPen,A brand-name auto-injector device containing epinephrine used to treat severe allergic reactions.,"An EpiPen is an emergency device that injects epinephrine (adrenaline) into your thigh to rapidly reverse severe allergic reactions. If prescribed one by your doctor, always carry it while traveling. After use, go to the ER immediately."
e41929ec-ce93-4a60-ad23-695ba840e30f,Anaphylaxis,"A severe, life-threatening allergic reaction requiring immediate epinephrine injection.","Anaphylaxis is the most severe form of allergic reaction. Symptoms include throat swelling, hives, dropping blood pressure, and difficulty breathing. This is always a 911/ER emergency. If you carry an EpiPen, use it immediately."
a28921a6-26d1-4113-9aeb-8a99a61fcc93,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
269f77f8-c3ac-499a-9591-4928eb229058,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
75592f84-f2c3-4e84-9f28-e0e44dbd11b8,GoodRx,A free US-based prescription discount service that provides coupons to reduce the cost of medications at participating pharmacies.,GoodRx is a free app or website (goodrx.com) that gives you discount coupons for prescription medications at US pharmacies. Uninsured visitors can often save 60–80% on medications using GoodRx. No insurance required.
ecbf7f08-f835-43fb-a275-4f4ac457664b,Formulary,A list of prescription medications covered by an insurance plan.,"Your insurance plan has a list of approved medications it will help pay for — this list is called a formulary. If your medication is not on the list, you may have to pay full price or ask your doctor for an alternative that is covered."
4ef0350d-2bac-4551-af6c-d1f67a6297b6,Community Health Clinic,"A nonprofit or government-funded clinic providing affordable primary care to all patients, including uninsured individuals, often on a sliding fee scale.","Community health clinics serve everyone, including visitors without insurance. Your fee is based on what you can afford. They provide real medical care — not just charity — including lab tests, chronic disease management, and preventive care."
a29dbbd7-1c74-4e3f-be34-db2d30da0549,Generic Medication,"A medication that contains the same active ingredient as a brand-name drug, sold at a lower price after the brand's patent expires.","Generic drugs work exactly the same as brand-name drugs but cost significantly less. If your doctor prescribes a brand-name drug, ask the pharmacist if a generic version is available — it can save you a lot of money."
e44840e2-8224-462f-bafc-328594e39dc9,Poison Control Center,"A medical resource providing free, confidential guidance for poisoning emergencies 24 hours a day.","If someone swallows a harmful substance, call the US Poison Control hotline at 1-800-222-1222. This free service is available 24/7 and connects you with toxicology experts who can guide you on whether you need to go to the ER."
